[2022-08-29 20:26:03 EDT] iverilog '-Wall' '-g2012' 'latch.v' design.sv testbench.sv  && unbuffer vvp a.out  
VCD info: dumpfile dump.vcd opened for output.
          0: clk = 1, start = 1, ready = 0, data = 000000000000000000000000, convst = 1, sck = 0, sdi = 0, sdo = 1
         29: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         30: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         31: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         32: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         33: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         34: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         35: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         36: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         37: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         38: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         39: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         40: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         41: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         42: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         43: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         44: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         45: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         46: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         47: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         48: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         49: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         50: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         51: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         52: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         53: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         54: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         55: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         56: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         57: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         58: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         59: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         60: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         61: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         62: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         63: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         64: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         65: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         66: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         67: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         68: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         69: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         70: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         71: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         72: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         73: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         74: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         75: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         76: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         77: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         78: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         79: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         80: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         81: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         82: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         83: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         84: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         85: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         86: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         87: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         88: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         89: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         90: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         91: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         92: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         93: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         94: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         95: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         96: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         97: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         98: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         99: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        100: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        101: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        102: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        103: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        104: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        105: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        106: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        107: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        108: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        109: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        110: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        111: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        112: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        113: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        114: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        115: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        116: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        117: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        118: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        119: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        120: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        121: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        122: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        123: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        124: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        125: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        126: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        127: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
        128: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 1, sdo = 1
        129: clk = 1, start = 0, ready = 0, data = 000000000000000000000001, convst = 0, sck = 1, sdi = 1, sdo = 1
        130: clk = 1, start = 0, ready = 0, data = 000000000000000000000001, convst = 0, sck = 0, sdi = 0, sdo = 1
        131: clk = 1, start = 0, ready = 0, data = 000000000000000000000003, convst = 0, sck = 1, sdi = 0, sdo = 1
        132: clk = 1, start = 0, ready = 0, data = 000000000000000000000003, convst = 0, sck = 0, sdi = 0, sdo = 1
        133: clk = 1, start = 0, ready = 0, data = 000000000000000000000007, convst = 0, sck = 1, sdi = 0, sdo = 1
        134: clk = 1, start = 0, ready = 0, data = 000000000000000000000007, convst = 0, sck = 0, sdi = 0, sdo = 1
        135: clk = 1, start = 0, ready = 0, data = 00000000000000000000000f, convst = 0, sck = 1, sdi = 0, sdo = 1
        136: clk = 1, start = 0, ready = 0, data = 00000000000000000000000f, convst = 0, sck = 0, sdi = 0, sdo = 1
        137: clk = 1, start = 0, ready = 0, data = 00000000000000000000001f, convst = 0, sck = 1, sdi = 0, sdo = 1
        138: clk = 1, start = 0, ready = 0, data = 00000000000000000000001f, convst = 0, sck = 0, sdi = 0, sdo = 1
        139: clk = 1, start = 0, ready = 0, data = 00000000000000000000003f, convst = 0, sck = 1, sdi = 0, sdo = 1
        140: clk = 1, start = 0, ready = 0, data = 00000000000000000000003f, convst = 0, sck = 0, sdi = 0, sdo = 1
        141: clk = 1, start = 0, ready = 0, data = 00000000000000000000007f, convst = 0, sck = 1, sdi = 0, sdo = 1
        142: clk = 1, start = 0, ready = 0, data = 00000000000000000000007f, convst = 0, sck = 0, sdi = 0, sdo = 1
        143: clk = 1, start = 0, ready = 0, data = 0000000000000000000000ff, convst = 0, sck = 1, sdi = 0, sdo = 1
        144: clk = 1, start = 0, ready = 0, data = 0000000000000000000000ff, convst = 0, sck = 0, sdi = 0, sdo = 1
        145: clk = 1, start = 0, ready = 0, data = 0000000000000000000001ff, convst = 0, sck = 1, sdi = 0, sdo = 1
        146: clk = 1, start = 0, ready = 0, data = 0000000000000000000001ff, convst = 0, sck = 0, sdi = 0, sdo = 1
        147: clk = 1, start = 0, ready = 0, data = 0000000000000000000003ff, convst = 0, sck = 1, sdi = 0, sdo = 1
        148: clk = 1, start = 0, ready = 0, data = 0000000000000000000003ff, convst = 0, sck = 0, sdi = 0, sdo = 1
        149: clk = 1, start = 0, ready = 0, data = 0000000000000000000007ff, convst = 0, sck = 1, sdi = 0, sdo = 1
        150: clk = 1, start = 0, ready = 0, data = 0000000000000000000007ff, convst = 0, sck = 0, sdi = 0, sdo = 1
        151: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 1, sdi = 0, sdo = 1
        152: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        153: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        154: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        155: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        156: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        157: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        158: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        159: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        160: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 1, sck = 0, sdi = 0, sdo = 1
        161: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 1, sck = 0, sdi = 0, sdo = 1
        162: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        163: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        164: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        165: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        166: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        167: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        168: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        169: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        170: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        171: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        172: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        173: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        174: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        175: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        176: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        177: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        178: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        179: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        180: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        181: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        182: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        183: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        184: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        185: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        186: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        187: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        188: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        189: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        190: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        191: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        192: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        193: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        194: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        195: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        196: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        197: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        198: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        199: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        200: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        201: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        202: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        203: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        204: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        205: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        206: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        207: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        208: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        209: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        210: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        211: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        212: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        213: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        214: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        215: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        216: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        217: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        218: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        219: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        220: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        221: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        222: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        223: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        224: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        225: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        226: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        227: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        228: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        229: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        230: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        231: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        232: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        233: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
        234: clk = 1, start = 0, ready = 0, data = 000000000000000000000fff, convst = 0, sck = 0, sdi = 0, sdo = 1
